ERROR:root:2024-01-06 22:18:12.058346 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-13 23:19:26.676515 - Exception occurred for symbol: ATRL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:32.225514 - Exception occurred for symbol: BATA. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:33.574577 - Exception occurred for symbol: BECO. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:34.000513 - Exception occurred for symbol: BCL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:08.407477 - Exception occurred for symbol: BERG. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:11.709228 - Exception occurred for symbol: BIFO. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:24.851101 - Exception occurred for symbol: BIPL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:26.417110 - Exception occurred for symbol: BNL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:27.598047 - Exception occurred for symbol: BNWM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:27.704050 - Exception occurred for symbol: BGL. Error Message: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
ERROR:root:2024-01-13 23:20:31.171107 - Exception occurred for symbol: BUXL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:35.641930 - Exception occurred for symbol: BPL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:45.887890 - Exception occurred for symbol: CEPB. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:46.881892 - Exception occurred for symbol: BWCL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:47.166619 - Exception occurred for symbol: CHAS. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:53.192275 - Exception occurred for symbol: CHCC. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:54.296628 - Exception occurred for symbol: CFL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:20:57.660561 - Exception occurred for symbol: CLOV. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:05.516024 - Exception occurred for symbol: CLVL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:09.021020 - Exception occurred for symbol: CPHL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:09.056022 - Exception occurred for symbol: COLG. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:15.276024 - Exception occurred for symbol: CRTM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:16.216018 - Exception occurred for symbol: CSAP. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:17.145024 - Exception occurred for symbol: CTM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:21:25.168079 - Exception occurred for symbol: DAAG. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
