2024-03-08 20:57:05,USDCUSDT,0.9984,"['SELL', 'SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0.03006012, 0, -0.02003005, 0.01001703, -0.11005503, -0.10006004]","[47.73551135, 44.39464276, 42.73101183, 39.84861174, 40.46835314, 41.25591587]","[-0.00032853, -0.00094353, -0.00111206, -0.00139147, 0.00255676, -0.05183941]","[10184800, 53607162, 153864520, 863174654, 5705560975, 7605853902]"
2024-03-08 20:57:21,DOGEUSDT,0.16931,"['STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.92548364, 1.85598072, 3.43287235, 7.43702012, 10.32123542, 44.31469485]","[55.41463726, 57.77104859, 56.6135049, 74.91390055, 82.90205256, 63.60068592]","[-0.00073576, 0.00688406, 0.00458553, 0.06076524, 0.02825941, -0.02104594]","[44252220, 170925126, 551743374, 4106993974, 34510930754, 52535783918]"
2024-03-08 22:27:35,BNBUSDT,485.8,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0, 0, 2.6655384, 2.40303541, 17.20144753, 21.63244867]","[60.05346802, 66.39647508, 73.56625542, 77.87384128, 85.46126118, 65.845]","[4.87558824, 13.47, 45.67323529, 62.72617647, 106.18823529, -9.07058824]","[14201.679, 26354.206, 336735.662, 1473756.365, 8069239.382, 10084112.882]"
2024-03-08 22:28:04,USDCUSDT,0.9982,"['SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0.01001904, 0, -0.03004507, -0.01001703, -0.13006503, -0.12007204]","[45.94240644, 43.29451866, 41.91461416, 37.9318705, 39.48293933, 40.36665951]","[-0.00010324, -0.00094441, -0.00111206, -0.00139147, 0.00255676, -0.05183941]","[9208493, 13438457, 202706803, 911957978, 5754344299, 7654637226]"
2024-03-08 22:28:20,DOGEUSDT,0.16791,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.54466876, -0.54466876, 2.79647534, 6.54863887, 9.40900502, 43.12137743]","[51.50230856, 55.7783836, 56.04672333, 74.57947271, 82.71403666, 63.42460927]","[0.00060709, 0.0049845, 0.00459235, 0.06076524, 0.02825941, -0.02104594]","[23251523, 42218076, 736978837, 4292685079, 34696621859, 52721475023]"
2024-03-08 22:43:51,BNBUSDT,483.2,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.51461507, -0.41211622, 2.24243706, 1.8549747, 16.57418577, 20.98147221]","[54.97010797, 63.81750848, 73.03526576, 77.55045053, 85.32112295, 65.70450424]","[4.48382353, 13.45294118, 45.69882353, 62.72617647, 106.18823529, -9.07058824]","[12750.75, 43288.826, 353670.282, 1490224.608, 8085707.625, 10100581.125]"
2024-03-08 22:44:18,USDCUSDT,0.9981,"['SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0.01001904, -0.01001803, -0.04006009, -0.02003406, -0.14007004, -0.13007805]","[46.13823873, 41.95668648, 41.12882704, 37.21848839, 39.00801225, 39.93625375]","[-0.00014118, -0.00094441, -0.00111206, -0.00139147, 0.00255676, -0.05183941]","[7192029, 21843831, 211112177, 920293682, 5762680003, 7662972930]"
2024-03-08 22:59:45,BTCUSDT,68819.2,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.24243576, 0.2921053, 1.71660929, 2.98701738, 9.03956763, 12.57663463]","[59.40195683, 65.65218364, 64.54108024, 75.60763201, 88.3169881, 75.94922399]","[550.14667647, 763.39323529, 1911.56494118, 12253.92294118, 16922.5305, 13069.61702941]","[740.10468, 3029.16972, 22303.43554, 62661.960202, 411931.916332, 514199.496682]"
2024-03-08 23:00:05,BNBUSDT,484.5,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.14474773, -0.20605811, 2.45398773, 2.12900506, 16.88781665, 21.30696044]","[56.88496129, 65.08145279, 73.30340065, 77.71331898, 85.39152814, 65.77489631]","[3.80147059, 13.43588235, 45.69882353, 62.72617647, 106.18823529, -9.07058824]","[10343.295, 54086.785, 364468.241, 1501050.339, 8096533.356, 10111406.856]"
2024-03-08 23:00:31,USDCUSDT,0.998,"['SELL', 'STRONG_SELL', 'SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0, 0, 0, -0.03005109, -0.15007504, -0.14008405]","[38.93968471, 39.51462506, 39.64244694, 36.531444, 38.54437485, 39.51492948]","[-0.00029353, -0.00039294, -0.00127941, -0.00139147, 0.00255676, -0.05183941]","[21, 21, 21, 934366061, 5776752382, 7677045309]"
2024-03-08 23:16:16,BNBUSDT,485.7,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.02060157, 0.20639835, 0.26831785, 2.38195616, 17.17732207, 21.60741112]","[59.03741815, 66.0669144, 73.72149833, 77.86157555, 85.45592075, 65.83961761]","[3.10970588, 13.41058824, 46.39794118, 62.72617647, 106.18823529, -9.07058824]","[367.595, 17307.978, 17686.778, 1518768.863, 8114251.88, 10129125.38]"
2024-03-08 23:16:25,SOLUSDT,148.04,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.07426912, 0.135318, 0.135318, 2.91275634, 13.73693915, 17.79121579]","[51.06138453, 55.04884055, 62.13050503, 75.41283258, 78.89906313, 73.89975905]","[-0.81232353, 1.55167647, 11.94070588, 21.02432353, 54.55482353, 28.61364706]","[4959.8, 80553.62, 80553.62, 7146644.27, 52767830.55, 71066084.43999998]"
2024-03-08 23:16:44,USDCUSDT,0.9979,"['SELL', 'STRONG_SELL', 'SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0, 0, 0, -0.04006812, -0.16008004, -0.15009005]","[38.93968471, 39.51462506, 39.64244694, 35.86930521, 38.09162929, 39.10240228]","[-0.00036382, -0.00044412, -0.00133059, -0.00139147, 0.00255676, -0.05183941]","[148783, 15491781, 15491781, 949802638, 5792188959, 7692481886]"
2024-03-08 23:16:59,DOGEUSDT,0.17109,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.03512058, 1.92032443, 1.92032443, 8.56653341, 11.48107122, 45.83191272]","[59.05698814, 59.45884515, 57.72357956, 75.32660462, 83.13527601, 63.82212173]","[0.00070021, 0.00529006, 0.00509679, 0.06076524, 0.02825941, -0.02104594]","[3229144, 58150518, 58150518, 4394658899, 34798595679, 52823448843]"
2024-03-08 23:31:38,BTCUSDT,69110,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.11360934, 0.32356534, 0.32356534, 3.42219571, 9.5003214, 13.05233451]","[62.40167599, 68.12655057, 65.67864309, 75.90742526, 88.40993511, 76.05015245]","[764.99955882, 808.08867647, 2118.01164706, 12253.92294118, 16922.5305, 13069.61702941]","[86.92957, 3217.18986, 3217.18986, 65939.954412, 415209.910542, 517477.490892]"
2024-03-08 23:32:23,USDCUSDT,0.9974,"['STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[-0.01002506, -0.05010522, -0.05010522, -0.09015326, -0.21010505, -0.20012007]","[29.84020356, 34.16139734, 36.12729801, 32.88873494, 35.9785911, 37.1625575]","[-0.00049824, -0.00044412, -0.00133059, -0.00139147, 0.00255676, -0.05183941]","[2931430, 28530142, 28530142, 962807588, 5805193909, 7705486836]"
2024-03-08 23:32:39,DOGEUSDT,0.17159,"['STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.56791569, 2.43916985, 2.43916985, 8.88381242, 11.80686779, 46.25809751]","[61.0883495, 60.46095602, 58.19678355, 75.44010105, 83.19964795, 63.88383893]","[0.00141206, 0.00540947, 0.00521621, 0.06076524, 0.02825941, -0.02104594]","[6534434, 119952092, 119952092, 4455763541, 34859700321, 52884553485]"
2024-03-08 23:32:47,SHIBUSDT,3.555e-05,"['STRONG_BUY', 'STRONG_BUY', 'BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.67911715, 1.59908624, 1.54197601, 12.85714286, 57.85968028, 183.04140127]","[54.30716078, 58.49491436, 58.27900559, 83.87622086, 91.97374938, 69.63276831]","[-1.2e-07, 1.79e-06, 2.92e-06, 1.921e-05, 6.11e-06, -1.89e-06]","[30680494376, 591799803874, 595624812963, 36639717263593.01, 319847667936941.9, 458993696588580.9]"
