Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector
QFBQ,LESHA BANK LLC,1.34,QAR,0.4497751124437785,9942460,2.024997933750396,1485119972,QAR,14.855875831485587,0.0902,QAR,,0,Finance
DOHI,DOHA INSURANCE GROUP QPSC,2.48,QAR,-0.7603041216486645,205180,0.9642524482274729,1269999981,QAR,7.920792079207921,0.3131,QAR,31.72065628944047,6.88976,Finance
QISI,QATAR ISLAMIC INSURANCE GROUP QPSC,8.274,QAR,-0.31325301204821177,30045,0.28906711514001643,1240050030,QAR,7.929844738355375,1.0434,QAR,50.15110087782417,6.04814,Finance
QIMD,QATAR INDUSTRIAL MANUFACTURING QPSC,2.601,QAR,0.038461538461534224,39232,0.19805848965256467,1216987170,QAR,8.168969849246231,0.3184,QAR,-5.181655747468723,5.07614,Producer Manufacturing
MCGS,MEDICARE GROUP QPSC,4.361,QAR,-1.8235029266096443,3201463,1.7127137794030178,1136740247,QAR,18.416385135135133,0.2368,QAR,-17.49128919860626,5.44689,Health Services
QGRI,QATAR GENERAL INSURANCE AND REINSURANCE QPSC,1.07,QAR,0,0,0,936321754,QAR,,-1.7061,QAR,-172.8886756238004,0,Finance
BEMA,DAMAAN ISLAMIC INSURANCE QPSC,3.79,QAR,0,0,0,758000000,QAR,10.417811984606926,0.3638,QAR,-76.88838066196557,4.74934,Finance
SIIS,SALAM INTERNATIONAL INVESTMENT LIMITED QPSC,0.684,QAR,6.046511627906982,53195879,18.541819363871788,736185936,QAR,17.01492537313433,0.0402,QAR,-15.546218487394963,4.65839,Retail Trade
QLMI,QLM LIFE AND MEDICAL INSURANCE QPSC,2,QAR,0,238143,0.5880615671517402,686350000,QAR,9.501187648456057,0.2105,QAR,-2.6364477335800234,6.3743,Finance
MRDS,MAZAYA REAL ESTATE DEVELOPMENT QPSC,0.664,QAR,2.9457364341085297,32831921,3.925787209696621,648999949,QAR,25.836575875486382,0.0257,QAR,-35.588972431077686,3.85208,Finance
AKHI,AL KHALEEJ TAKAFUL INSURANCE QPSC,2.538,QAR,1.3983220135836874,6138781,2.342072971433588,638452854,QAR,10.071428571428571,0.252,QAR,11.70212765957447,4.79808,Finance
MKDM,MEKDAM HOLDING GROUP QPSC,3.762,QAR,0.8579088471849874,253104,1.1866359987135213,507594376,QAR,12.769857433808555,0.2946,QAR,-1.0080645161290334,5.4737,Industrial Services
WDAM,WIDAM FOOD QPSC,2.444,QAR,-2.161729383506816,7481599,1.5546992222035074,416520023,QAR,,-0.0314,QAR,92.11847389558233,0,Distribution Services
MHAR,AL MAHHAR HOLDING QPSC,1.66,QAR,0.5451241671714051,125559,0.2911222765034443,341550000,QAR,,,,,6.06061,Electronic Technology
NLCS,NATIONAL LEASING HOLDING QPSC,0.701,QAR,1.5942028985507264,10107184,4.741064801159393,340423789,QAR,21.569230769230767,0.0325,QAR,-20.537897310513443,4.36047,Finance
QOIS,QATAR OMAN INVESTMENT QPSC,0.879,QAR,1.6184971098265912,1858838,0.647267291133822,274050002,QAR,,,,,0,Finance
IHGS,INMA HOLDING QPSC,4.398,QAR,-1.2129380053908416,827216,1.1069808297431647,251123169,QAR,19.686660698299015,0.2234,QAR,12.714429868819375,1.12765,Finance
DBIS,DLALA BROKERAGE AND INVESTMENT HOLDING QPSC,1.308,QAR,-0.8339651250947612,1179654,0.8624929892751172,245599490,QAR,,-0.0027,QAR,98.8856789104416,0,Finance
QGMD,QATARI GERMAN FOR MEDICAL DEVICES QPSC,1.86,QAR,7.204610951008646,26641190,1.3183828468396264,203741993,QAR,158.97435897435898,0.0117,QAR,36.04651162790698,0,Distribution Services
QCFS,QATAR CINEMA AND FILM DISTRIBUTION QPSC,3.1,QAR,3.333333333333336,1000,333.3333333333333,188423859,QAR,41.11405835543767,0.0754,QAR,46.40776699029126,2.33333,Consumer Services
FALH,AL FALEH EDUCATIONAL HOLDING QPSC,0.707,QAR,0,0,0,168720002,QAR,13.570057581573895,0.0521,QAR,46.7605633802817,4.44524,Commercial Services
