Date and Time,Symbol,Summary,W Close,Sell,Neutral,Buy,Volume,ADX,RSI,Last RSI,AO,%Change(D),Support,Resistance,Charts,Financials,Technicals
2024-03-30 02:34:43.027123,FABL,STRONG_BUY,34.05,1,7,18,13826306.0,22.77004287,62.23828854,54.6157838,3.03326471,10.01615509,19.005999998,42.84055555333333,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AFABL,https://www.tradingview.com/symbols/PSX-FABL/financials-overview/,https://www.tradingview.com/symbols/PSX-FABL/technicals/
2024-03-30 02:34:43.027123,MUGHAL,NEUTRAL,63.07,8,9,9,637388.0,17.56141691,49.49629513,50.76604087,4.20126471,-1.29890454,37.179999998,92.99555555333332,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMUGHAL,https://www.tradingview.com/symbols/PSX-MUGHAL/financials-overview/,https://www.tradingview.com/symbols/PSX-MUGHAL/technicals/
2024-03-30 02:34:43.027123,MCB,STRONG_BUY,203.26,0,10,16,1467427.0,38.47275626,69.68943784,66.06881254,33.27355882,4.31078723,94.482,250.83333333333334,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMCB,https://www.tradingview.com/symbols/PSX-MCB/financials-overview/,https://www.tradingview.com/symbols/PSX-MCB/technicals/
2024-03-30 02:34:43.027123,MTL,BUY,585.16,3,9,14,214558.0,45.61795286,58.7775397,58.14064509,69.04073529,0.71600688,173.31934506,924.0389557966668,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMTL,https://www.tradingview.com/symbols/PSX-MTL/financials-overview/,https://www.tradingview.com/symbols/PSX-MTL/technicals/
2024-03-30 02:34:43.027123,INIL,STRONG_BUY,142.02,1,9,16,2188961.0,41.05544212,64.96088045,62.78602433,17.41297059,2.55632582,59.757999998,193.69888888666665,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AINIL,https://www.tradingview.com/symbols/PSX-INIL/financials-overview/,https://www.tradingview.com/symbols/PSX-INIL/technicals/
2024-03-30 02:34:43.027123,ILP,STRONG_BUY,74.95,1,9,16,704690.0,46.9161736,73.08081155,66.44568604,12.10102941,7.05613484,30.824691516666665,109.59012333333334,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AILP,https://www.tradingview.com/symbols/PSX-ILP/financials-overview/,https://www.tradingview.com/symbols/PSX-ILP/technicals/
2024-03-30 02:34:43.027123,LUCK,BUY,764.98,2,10,14,365571.0,22.88227862,59.54528579,56.91951045,65.25458824,2.35900181,358.34200000199996,1090.9894444466665,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ALUCK,https://www.tradingview.com/symbols/PSX-LUCK/financials-overview/,https://www.tradingview.com/symbols/PSX-LUCK/technicals/
2024-03-30 02:34:43.027123,HMB,BUY,57.24,3,9,14,283000.0,35.55066234,58.6578554,52.94339559,8.55788235,6.43361845,25.458000000000002,78.145,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AHMB,https://www.tradingview.com/symbols/PSX-HMB/financials-overview/,https://www.tradingview.com/symbols/PSX-HMB/technicals/
2024-03-30 02:34:43.027123,CHCC,BUY,152.11,6,10,10,713853.0,24.31872727,51.99823248,50.35548246,5.74394118,1.38638939,76.792000002,226.18111111333334,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ACHCC,https://www.tradingview.com/symbols/PSX-CHCC/financials-overview/,https://www.tradingview.com/symbols/PSX-CHCC/technicals/
2024-03-30 02:34:43.027123,MARI,BUY,2536.99,2,10,14,215627.0,43.90991724,71.53872025,70.30153436,500.22458824,1.68296593,1135.9833333333333,2712.65,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMARI,https://www.tradingview.com/symbols/PSX-MARI/financials-overview/,https://www.tradingview.com/symbols/PSX-MARI/technicals/
2024-03-30 02:34:43.027123,NATF,BUY,163.13,1,10,15,1007106.0,19.38430423,67.80806969,62.86737684,23.18438235,5.05538382,84.715999998,194.51222222,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ANATF,https://www.tradingview.com/symbols/PSX-NATF/financials-overview/,https://www.tradingview.com/symbols/PSX-NATF/technicals/
2024-03-30 02:34:43.027123,FATIMA,STRONG_BUY,39.68,1,9,16,7540213.0,38.61975199,69.5461168,65.26775013,4.80582353,4.55862978,23.02944444666667,43.19611111333333,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AFATIMA,https://www.tradingview.com/symbols/PSX-FATIMA/financials-overview/,https://www.tradingview.com/symbols/PSX-FATIMA/technicals/
2024-03-30 02:34:43.027123,AGP,BUY,74.22,3,10,13,176737.0,17.06934045,59.23546065,54.51848917,9.193,5.5010661,37.05944444666667,92.24277778,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AAGP,https://www.tradingview.com/symbols/PSX-AGP/financials-overview/,https://www.tradingview.com/symbols/PSX-AGP/technicals/
2024-03-30 02:34:43.027123,KOHC,STRONG_BUY,224.98,1,9,16,214735.0,17.85991246,56.96069431,49.6447697,13.04764706,9.17119565,111.88599999799999,311.79222222,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AKOHC,https://www.tradingview.com/symbols/PSX-KOHC/financials-overview/,https://www.tradingview.com/symbols/PSX-KOHC/technicals/
2024-03-30 02:34:43.027123,ABL,BUY,85.99,3,10,13,132500.0,31.59010956,59.0624675,57.55827122,7.21241176,0.90354377,51.25888888666666,106.20388888666668,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AABL,https://www.tradingview.com/symbols/PSX-ABL/financials-overview/,https://www.tradingview.com/symbols/PSX-ABL/technicals/
2024-03-30 02:34:43.027123,FFBL,STRONG_BUY,27.44,1,9,16,13645177.0,32.83225305,61.45420147,52.6714193,3.88105882,12.04573295,10.459999999999999,45.833333333333336,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AFFBL,https://www.tradingview.com/symbols/PSX-FFBL/financials-overview/,https://www.tradingview.com/symbols/PSX-FFBL/technicals/
2024-03-30 02:34:43.027123,GLAXO,NEUTRAL,84.82,7,10,9,140500.0,14.44012882,52.39616382,51.48499867,4.68341176,0.79619727,55.80166666666667,109.885,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AGLAXO,https://www.tradingview.com/symbols/PSX-GLAXO/financials-overview/,https://www.tradingview.com/symbols/PSX-GLAXO/technicals/
2024-03-30 02:34:43.027123,KEL,BUY,4.42,6,9,11,62184787.0,28.51229754,53.59340143,53.07354636,0.89685294,0.91324201,2.19,8.541666666666666,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AKEL,https://www.tradingview.com/symbols/PSX-KEL/financials-overview/,https://www.tradingview.com/symbols/PSX-KEL/technicals/
